country,country_code,year,item,item_code,origin,Disponibilité intérieure,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour),Disponibilité de matière grasse en quantité (g/personne/jour)
Albanie,3,2013,Huiles de Foie de Poisso,2782,animal,0.0,0.0,0.0,0.0
Albanie,3,2013,Riz (Eq Blanchi),2805,vegetal,25.0,68.0,0.16,0.16
Albanie,3,2013,Lait - Excl Beurre,2848,animal,1153.0,533.0,31.43,31.43
Albanie,3,2013,Miscellanees,2899,vegetal,,5.0,0.06,0.06
Algérie,4,2013,Blé,2511,vegetal,9461.0,1424.0,5.34,5.34
Algérie,4,2013,Orge,2513,vegetal,2052.0,94.0,0.29,0.29
Algérie,4,2013,Maïs,2514,vegetal,3252.0,129.0,1.12,1.12
Algérie,4,2013,Seigle,2515,vegetal,0.0,0.0,0.0,0.0
Algérie,4,2013,Avoine,2516,vegetal,122.0,0.0,0.0,0.0
Algérie,4,2013,Millet,2517,vegetal,1.0,,,
Algérie,4,2013,Sorgho,2518,vegetal,3.0,1.0,0.0,0.0
Algérie,4,2013,"Céréales, Autres",2520,vegetal,4.0,0.0,0.0,0.0
Algérie,4,2013,Pommes de Terre,2531,vegetal,5087.0,126.0,0.18,0.18
Algérie,4,2013,Manioc,2532,vegetal,0.0,0.0,,
Algérie,4,2013,Patates douces,2533,vegetal,0.0,,,
Algérie,4,2013,"Racines, Nda",2534,vegetal,0.0,0.0,,
Algérie,4,2013,"Sucre, canne",2536,vegetal,0.0,,,
Algérie,4,2013,"Sucre, betterave",2537,vegetal,0.0,,,
Algérie,4,2013,Sucre Eq Brut,2542,vegetal,1279.0,258.0,,
Algérie,4,2013,Edulcorants Autres,2543,vegetal,24.0,6.0,,
Algérie,4,2013,Haricots,2546,vegetal,64.0,14.0,0.06,0.06
Algérie,4,2013,Pois,2547,vegetal,19.0,4.0,0.01,0.01
Algérie,4,2013,Légumineuses Autres,2549,vegetal,277.0,61.0,0.44,0.44
Algérie,4,2013,Noix,2551,vegetal,71.0,13.0,1.18,1.18
Algérie,4,2013,Soja,2555,vegetal,0.0,0.0,,
Algérie,4,2013,Arachides Decortiquees,2556,vegetal,55.0,5.0,0.38,0.38
Algérie,4,2013,Graines de tournesol,2557,vegetal,3.0,,,
Algérie,4,2013,Graines Colza/Moutarde,2558,vegetal,49.0,0.0,0.0,0.0
Algérie,4,2013,Graines de coton,2559,vegetal,0.0,,,
Algérie,4,2013,Coco (Incl Coprah),2560,vegetal,3.0,0.0,0.02,0.02
Algérie,4,2013,Sésame,2561,vegetal,5.0,2.0,0.16,0.16
Algérie,4,2013,Palmistes,2562,vegetal,0.0,0.0,0.0,0.0
Algérie,4,2013,Olives,2563,vegetal,591.0,12.0,1.36,1.36
Algérie,4,2013,"Plantes Oleiferes, Autre",2570,vegetal,5.0,0.0,,
Algérie,4,2013,Huile de Soja,2571,vegetal,293.0,181.0,20.48,20.48
Algérie,4,2013,Huile d'Arachide,2572,vegetal,20.0,12.0,1.37,1.37
Algérie,4,2013,Huile de Tournesol,2573,vegetal,77.0,48.0,5.41,5.41
Algérie,4,2013,Huile de Colza&Moutarde,2574,vegetal,18.0,11.0,1.2,1.2
Algérie,4,2013,Huile Graines de Coton,2575,vegetal,0.0,,,
Algérie,4,2013,Huile de Palmistes,2576,vegetal,0.0,,,
Algérie,4,2013,Huile de Palme,2577,vegetal,82.0,18.0,2.03,2.03
Algérie,4,2013,Huile de Coco,2578,vegetal,1.0,1.0,0.07,0.07
Algérie,4,2013,Huile de Sésame,2579,vegetal,0.0,0.0,0.0,0.0
Algérie,4,2013,Huile d'Olive,2580,vegetal,68.0,42.0,4.74,4.74
Algérie,4,2013,Huile de Germe de Maïs,2582,vegetal,2.0,1.0,0.13,0.13
Algérie,4,2013,Huil Plantes Oleif Autr,2586,vegetal,81.0,47.0,5.3,5.3
Algérie,4,2013,Tomates,2601,vegetal,1151.0,16.0,0.17,0.17
Algérie,4,2013,Oignons,2602,vegetal,1344.0,35.0,0.09,0.09
Algérie,4,2013,"Légumes, Autres",2605,vegetal,4542.0,73.0,0.47,0.47
Algérie,4,2013,"Oranges, Mandarines",2611,vegetal,1174.0,24.0,0.2,0.2
Algérie,4,2013,Citrons & Limes,2612,vegetal,83.0,1.0,0.02,0.02
Algérie,4,2013,Pamplemousse,2613,vegetal,3.0,0.0,0.0,0.0
Algérie,4,2013,"Agrumes, Autres",2614,vegetal,9.0,0.0,0.0,0.0
Algérie,4,2013,Bananes,2615,vegetal,274.0,10.0,0.02,0.02
Algérie,4,2013,Bananes plantains,2616,vegetal,0.0,0.0,0.0,0.0
Algérie,4,2013,Pommes,2617,vegetal,572.0,18.0,0.11,0.11
Algérie,4,2013,Ananas,2618,vegetal,10.0,0.0,0.0,0.0
Algérie,4,2013,Dattes,2619,vegetal,855.0,101.0,0.21,0.21
Algérie,4,2013,Raisin,2620,vegetal,605.0,21.0,0.14,0.14
Algérie,4,2013,"Fruits, Autres",2625,vegetal,1202.0,39.0,0.26,0.26
Algérie,4,2013,Café,2630,vegetal,129.0,4.0,,
Algérie,4,2013,Feve de Cacao,2633,vegetal,41.0,10.0,0.83,0.83
Algérie,4,2013,Thé,2635,vegetal,13.0,0.0,,
Algérie,4,2013,Poivre,2640,vegetal,4.0,1.0,0.01,0.01
Algérie,4,2013,Piments,2641,vegetal,20.0,4.0,0.12,0.12
